"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","1","test_python","test_cal2","TestCalc","","","test_div1[get_div4]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_mul1[get_mul1]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_div1[get_div2]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_sub1[get_sub0]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_add1[get_add0]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","1","test_python","test_cal2","TestCalc","","","test_div1[get_div0]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","1","test_python","test_cal2","TestCalc","","","test_sub1[get_sub3]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_mul1[get_mul2]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_mul1[get_mul4]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_sub1[get_sub1]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","1","test_python","test_cal2","TestCalc","","","test_div1[get_div1]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_sub1[get_sub4]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_mul1[get_mul3]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","1","test_python","test_cal2","TestCalc","","","test_sub1[get_sub2]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","1","test_python","test_cal2","TestCalc","","","test_div1[get_div3]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_add1[get_add3]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","1","test_python","test_cal2","TestCalc","","","test_mul1[get_mul0]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","1","test_python","test_cal2","TestCalc","","","test_add1[get_add2]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_add1[get_add4]",""
"passed","Sun Dec 27 15:13:20 CST 2020","Sun Dec 27 15:13:20 CST 2020","0","test_python","test_cal2","TestCalc","","","test_add1[get_add1]",""
